Long	O
-	O
Term	O
LIMB	O
-	O
Q	O
Scores	O
Following	O
Severe	O
Lower	O
Extremity	O
Traumatic	O
Injuries	O
..	O
Traumatic	O
lower	O
extremity	O
injuries	O
can	O
have	O
devastating	O
,	O
long	O
-	O
lasting	O
impacts	O
on	O
patients	O
'	O
lives	O
.	O
However	O
,	O
it	O
is	O
not	O
well	O
understood	O
how	O
patient	O
-	O
reported	O
outcomes	O
(	O
PROs	O
)	O
evolve	O
following	O
such	O
injuries	O
.	O
We	O
aimed	O
to	O
measure	O
LIMB	O
-	O
Q	O
scores	O
in	O
patients	O
following	O
severe	O
lower	O
extremity	O
traumatic	O
injuries	O
to	O
determine	O
temporal	O
trends	O
in	O
PROs	O
.	O
We	O
performed	O
a	O
cross	O
-	O
sectional	O
study	O
of	O
lower	O
extremity	O
trauma	O
patients	O
with	O
injuries	O
distal	O
to	O
the	O
mid	O
-	O
femur	O
who	O
required	O
fracture	O
management	O
,	O
limb	O
salvage	O
,	O
and/or	O
amputation	O
.	O
We	O
collected	O
self	O
-	O
reported	O
clinical	O
and	O
demographic	O
data	O
.	O
We	O
also	O
collected	O
PRO	O
data	O
using	O
the	O
LIMB	O
-	O
Q	O
,	O
a	O
PRO	O
measure	O
specific	O
to	O
lower	O
extremity	O
trauma	O
patients	O
.	O
Primary	O
outcomes	O
were	O
LIMB	O
-	O
Q	O
Function	O
,	O
Symptoms	O
,	O
Life	O
Impact	O
,	O
Psychological	O
,	O
Sex	O
Life	O
,	O
Work	O
,	O
and	O
Decision	O
Satisfaction	O
scales	O
.	O
We	O
conducted	O
linear	O
regressions	O
to	O
evaluate	O
associations	O
between	O
time	O
from	O
injury	O
and	O
LIMB	O
-	O
Q	O
scores	O
.	O
We	O
analyzed	O
responses	O
from	O
706	O
patients	O
with	O
a	O
mean	O
time	O
from	O
injury	O
of	O
6.7	O
years	O
(	O
SD	O
9.1	O
)	O
.	O
The	O
mean	O
time	O
from	O
injury	O
was	O
7.6	O
years	O
in	O
the	O
limb	O
-	O
salvage	O
group	O
,	O
9.7	O
years	O
in	O
the	O
amputation	O
group	O
,	O
and	O
4.7	O
years	O
in	O
the	O
fracture	O
-	O
management	O
-	O
only	O
group	O
.	O
After	O
controlling	O
for	O
patient	O
and	O
clinical	O
characteristics	O
,	O
time	O
from	O
injury	O
was	O
associated	O
with	O
steady	O
reductions	O
in	O
decision	O
satisfaction	O
among	O
patients	O
who	O
had	O
undergone	O
limb	O
salvage	O
(	O
p<0.001	O
;	O
95	O
%	O
[	O
-0.95,-0.38	O
]	O
)	O
.	O
There	O
was	O
no	O
significant	O
association	O
between	O
time	O
from	O
injury	O
and	O
Decision	O
Satisfaction	O
score	O
among	O
patients	O
who	O
had	O
undergone	O
amputation	O
.	O
This	O
study	O
of	O
PROs	O
in	O
patients	O
following	O
severe	O
lower	O
extremity	O
traumatic	O
injuries	O
provides	O
data	O
to	O
contextualize	O
and	O
interpret	O
LIMB	O
-	O
Q	O
scores	O
in	O
future	O
research	O
.	O

Vulvodynia	O
and	O
Chronic	O
Vulvar	O
Pain	O
:	O
Influencing	O
Factors	O
and	O
Long	O
-	O
Term	O
Success	O
After	O
Therapeutic	O
Local	O
Anesthesia	O
(	O
TLA	O
)	O
..	O
Vulvodynia	O
is	O
a	O
debilitating	B-DISEASE
sexual	I-DISEASE
disorder	I-DISEASE
with	O
a	O
high	O
prevalence	O
of	O
7	O
-	O
11	O
%	O
.	O
In	O
the	O
study	O
reported	O
here	O
,	O
we	O
analyzed	O
long	O
-	O
term	O
results	O
from	O
a	O
prospective	O
,	O
non	O
-	O
controlled	O
observational	O
study	O
to	O
enhance	O
our	O
understanding	O
of	O
the	O
success	O
of	O
therapeutic	O
local	O
anesthesia	O
(	O
TLA	O
)	O
and	O
to	O
investigate	O
factors	O
that	O
predict	O
a	O
response	O
or	O
failure	O
of	O
therapy	O
,	O
with	O
the	O
overall	O
aim	O
to	O
gain	O
new	O
insights	O
into	O
the	O
complex	O
medical	O
condition	O
of	O
vulvodynia	O
.	O
A	O
total	O
of	O
45	O
patients	O
diagnosed	O
with	O
severe	O
chronic	O
vulvodynia	O
or	O
chronic	O
vulvar	O
pain	O
(	O
Numeric	O
Analog	O
Scale	O
[	O
NAS	O
]	O
